Model,Hyperparameters,Accuracy,Confusion Matrix,Classification Report,Importances
RandomForestClassifier,{'n_estimators': 500},0.727211,"          Predicted 0  Predicted 1
Actual 0         6088         2747
Actual 1         2074         6764","              precision    recall  f1-score   support

         0.0       0.75      0.69      0.72      8835
         1.0       0.71      0.77      0.74      8838

    accuracy                           0.73     17673
   macro avg       0.73      0.73      0.73     17673
weighted avg       0.73      0.73      0.73     17673
","[0.15272256 0.03122062 0.04134499 0.00706428 0.21348222 0.03311556
 0.02063797 0.02766811 0.03354332 0.02630392 0.01070317 0.12011483
 0.06826988 0.08911489 0.02970303 0.01215211 0.08283856]"
RandomForestClassifier_Optimized,"{'n_estimators': 1000, 'max_depth': 10}",0.749561478,"          Predicted 0  Predicted 1
Actual 0         6243         2592
Actual 1         1834         7004","              precision    recall  f1-score   support

         0.0       0.77      0.71      0.74      8835
         1.0       0.73      0.79      0.76      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.75     17673
weighted avg       0.75      0.75      0.75     17673
","[0.10215926 0.00930014 0.09297898 0.01004056 0.14083681 0.00623474
 0.0293301  0.00997706 0.00526045 0.00558775 0.01095335 0.25302001
 0.0158642  0.03218228 0.05594413 0.00624554 0.21408465]"
LogisticRegression,{'solver': 'lbfgs'},0.748146891,"          Predicted 0  Predicted 1
Actual 0         6455         2380
Actual 1         2071         6767","              precision    recall  f1-score   support

         0.0       0.76      0.73      0.74      8835
         1.0       0.74      0.77      0.75      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.75     17673
weighted avg       0.75      0.75      0.75     17673
",None
DecisionTreeClassifier,{'max_depth': None},0.666100832,"          Predicted 0  Predicted 1
Actual 0         6065         2770
Actual 1         3131         5707","              precision    recall  f1-score   support

         0.0       0.66      0.69      0.67      8835
         1.0       0.67      0.65      0.66      8838

    accuracy                           0.67     17673
   macro avg       0.67      0.67      0.67     17673
weighted avg       0.67      0.67      0.67     17673
",None
SVC,{'kernel': 'rbf'},0.749165394,"          Predicted 0  Predicted 1
Actual 0         6121         2714
Actual 1         1719         7119","              precision    recall  f1-score   support

         0.0       0.78      0.69      0.73      8835
         1.0       0.72      0.81      0.76      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.75     17673
weighted avg       0.75      0.75      0.75     17673
",None
KNN,{'n_neighbors': 5},0.712951961,"          Predicted 0  Predicted 1
Actual 0         6056         2779
Actual 1         2294         6544","              precision    recall  f1-score   support

         0.0       0.73      0.69      0.70      8835
         1.0       0.70      0.74      0.72      8838

    accuracy                           0.71     17673
   macro avg       0.71      0.71      0.71     17673
weighted avg       0.71      0.71      0.71     17673
",None
GaussianNB,{},0.724664743,"          Predicted 0  Predicted 1
Actual 0         6455         2380
Actual 1         2486         6352","              precision    recall  f1-score   support

         0.0       0.72      0.73      0.73      8835
         1.0       0.73      0.72      0.72      8838

    accuracy                           0.72     17673
   macro avg       0.72      0.72      0.72     17673
weighted avg       0.72      0.72      0.72     17673
",None
GradientBoostingClassifier,{},0.751994568,"          Predicted 0  Predicted 1
Actual 0         6269         2566
Actual 1         1817         7021","              precision    recall  f1-score   support

         0.0       0.78      0.71      0.74      8835
         1.0       0.73      0.79      0.76      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.75     17673
weighted avg       0.75      0.75      0.75     17673
",None
AdaBoostClassifier,{},0.750579981,"          Predicted 0  Predicted 1
Actual 0         6433         2402
Actual 1         2006         6832","              precision    recall  f1-score   support

         0.0       0.76      0.73      0.74      8835
         1.0       0.74      0.77      0.76      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.75     17673
weighted avg       0.75      0.75      0.75     17673
",None
XGBoostClassifier,{},0.7453743,"          Predicted 0  Predicted 1
Actual 0         6210         2625
Actual 1         1875         6963","              precision    recall  f1-score   support

         0.0       0.77      0.70      0.73      8835
         1.0       0.73      0.79      0.76      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.74     17673
weighted avg       0.75      0.75      0.74     17673
",None
LightGBMClassifier,{},0.752277485,"          Predicted 0  Predicted 1
Actual 0         6241         2594
Actual 1         1784         7054","              precision    recall  f1-score   support

         0.0       0.78      0.71      0.74      8835
         1.0       0.73      0.80      0.76      8838

    accuracy                           0.75     17673
   macro avg       0.75      0.75      0.75     17673
weighted avg       0.75      0.75      0.75     17673
",None
